📊 جدول ملخص سريع:
#	Method	Endpoint		الوصف
1	GET	/api/cart		عرض السلة	
2	POST	/api/cart/items		إضافة منتج	
3	PUT	/api/cart/items/{id}	تحديث الكمية
4	DELETE	/api/cart/items/{id}	حذف منتج
5	DELETE	/api/cart/clear		تفريغ السلة	
		
🎯 الميزات المنفذة:
الميزة	الحالة
عرض السلة مع الإجماليات	✅
إضافة منتج (مسجل/زائر)			✅
دعم product variants		✅
منع إضافة نفس المنتج مرتين		✅
تحديث الكمية				✅
حذف منتج				✅
تفريغ السلة				✅
التحقق من المخزون			✅
تخزين السعر عند الإضافة			✅
دمج سلة الزائر مع سلة المستخدم عند التسجيل	✅
Cookie تلقائي للزوار			✅
try-catch مع رسائل خطأ واضحة		✅
